mode,b1,b2,b3,r1,r2,r3,y
gemGrab,CLANCY,GALE,MEG,AMBER,CROW,JESSIE,0
gemGrab,CLANCY,GALE,MEG,AMBER,CROW,JESSIE,1
heist,BUZZ,COLT,JESSIE,BIBI,CHUCK,RICO,1
heist,BUZZ,COLT,JESSIE,BIBI,CHUCK,RICO,1
bounty,BYRON,MANDY,NANI,BELLE,GALE,PEARL,1
bounty,BYRON,MANDY,NANI,BELLE,GALE,PEARL,1
gemGrab,CHARLIE,FRANK,NITA,CARL,COLETTE,GENE,1
gemGrab,CHARLIE,FRANK,NITA,CARL,COLETTE,GENE,1
hotZone,ANGELO,DYNAMIKE,MAX,BYRON,LARRY & LAWRIE,NITA,1
hotZone,ANGELO,DYNAMIKE,MAX,BYRON,LARRY & LAWRIE,NITA,0
hotZone,ANGELO,DYNAMIKE,MAX,BYRON,LARRY & LAWRIE,NITA,1
bounty,ANGELO,MANDY,MAX,BELLE,BYRON,NANI,0
bounty,ANGELO,MANDY,MAX,BELLE,BYRON,NANI,0
bounty,ANGELO,BROCK,MANDY,BELLE,MAX,PIPER,0
bounty,ANGELO,BROCK,MANDY,BELLE,MAX,PIPER,1
bounty,ANGELO,BROCK,MANDY,BELLE,MAX,PIPER,0
gemGrab,AMBER,BUSTER,MAX,CORDELIUS,CROW,JACKY,0
gemGrab,AMBER,BUSTER,MAX,CORDELIUS,CROW,JACKY,0
knockout,DYNAMIKE,LEON,PIPER,BUSTER,LARRY & LAWRIE,MANDY,1
knockout,DYNAMIKE,LEON,PIPER,BUSTER,LARRY & LAWRIE,MANDY,1
knockout,BELLE,BROCK,PIPER,BYRON,GENE,GROM,0
knockout,BELLE,BROCK,PIPER,BYRON,GENE,GROM,1
knockout,BELLE,BROCK,PIPER,BYRON,GENE,GROM,0
gemGrab,BUSTER,CHESTER,MAX,CLANCY,SANDY,SURGE,1
gemGrab,BUSTER,CHESTER,MAX,CLANCY,SANDY,SURGE,1
bounty,EDGAR,LARRY & LAWRIE,MICO,BUZZ,GROM,MAX,1
bounty,EDGAR,LARRY & LAWRIE,MICO,BUZZ,GROM,MAX,1
knockout,BARLEY,BELLE,MEG,CORDELIUS,GENE,R-T,0
knockout,BARLEY,BELLE,MEG,CORDELIUS,GENE,R-T,0
bounty,EVE,FRANK,SURGE,BIBI,GALE,NITA,0
bounty,EVE,FRANK,SURGE,BIBI,GALE,NITA,0
brawlBall,AMBER,CORDELIUS,MAX,BUSTER,MAISIE,RUFFS,1
brawlBall,AMBER,CORDELIUS,MAX,BUSTER,MAISIE,RUFFS,1
brawlBall,AMBER,CORDELIUS,MAX,BUSTER,MAISIE,RUFFS,0
gemGrab,AMBER,FRANK,LEON,CHESTER,EMZ,GENE,0
gemGrab,AMBER,FRANK,LEON,CHESTER,EMZ,GENE,0
hotZone,GALE,LILY,MORTIS,LARRY & LAWRIE,STU,SURGE,1
hotZone,GALE,LILY,MORTIS,LARRY & LAWRIE,STU,SURGE,1
brawlBall,JACKY,LARRY & LAWRIE,RICO,BIBI,COLT,KIT,0
brawlBall,JACKY,LARRY & LAWRIE,RICO,BIBI,COLT,KIT,1
brawlBall,JACKY,LARRY & LAWRIE,RICO,BIBI,COLT,KIT,0
hotZone,COLT,CROW,LOU,BARLEY,PIPER,SANDY,1
hotZone,COLT,CROW,LOU,BARLEY,PIPER,SANDY,1
bounty,MANDY,NANI,SPROUT,ANGELO,CROW,GENE,0
bounty,MANDY,NANI,SPROUT,ANGELO,CROW,GENE,0
gemGrab,CORDELIUS,CROW,JESSIE,GENE,LARRY & LAWRIE,MEG,0
gemGrab,CORDELIUS,CROW,JESSIE,GENE,LARRY & LAWRIE,MEG,0
gemGrab,CORDELIUS,CROW,JESSIE,GENE,LARRY & LAWRIE,MEG,1
knockout,ANGELO,NANI,PEARL,MR. P,PIPER,TICK,0
knockout,ANGELO,NANI,PEARL,MR. P,PIPER,TICK,0
heist,ANGELO,COLT,PIPER,AMBER,COLETTE,RICO,1
heist,ANGELO,COLT,PIPER,AMBER,COLETTE,RICO,1
heist,BELLE,CLANCY,CROW,GALE,JESSIE,MEG,0
heist,BELLE,CLANCY,CROW,GALE,JESSIE,MEG,0
brawlBall,BUZZ,MEG,RICO,BIBI,CORDELIUS,SANDY,1
brawlBall,BUZZ,MEG,RICO,BIBI,CORDELIUS,SANDY,1
bounty,ANGELO,BYRON,GALE,BERRY,BUSTER,PIPER,1
bounty,ANGELO,BYRON,GALE,BERRY,BUSTER,PIPER,1
bounty,LEON,MANDY,SPIKE,CHESTER,GENE,PIPER,0
bounty,LEON,MANDY,SPIKE,CHESTER,GENE,PIPER,1
bounty,LEON,MANDY,SPIKE,CHESTER,GENE,PIPER,0
bounty,BUSTER,SANDY,SURGE,JACKY,R-T,RUFFS,0
bounty,BUSTER,SANDY,SURGE,JACKY,R-T,RUFFS,0
bounty,BUSTER,SANDY,SURGE,JACKY,R-T,RUFFS,1
knockout,COLT,GALE,NANI,BELLE,LEON,PEARL,1
knockout,COLT,GALE,NANI,BELLE,LEON,PEARL,1
heist,BELLE,BROCK,GRIFF,LEON,MAX,MELODIE,1
heist,BELLE,BROCK,GRIFF,LEON,MAX,MELODIE,1
brawlBall,BARLEY,LILY,STU,CORDELIUS,DYNAMIKE,NITA,1
brawlBall,BARLEY,LILY,STU,CORDELIUS,DYNAMIKE,NITA,0
brawlBall,BARLEY,LILY,STU,CORDELIUS,DYNAMIKE,NITA,1
knockout,CARL,MEG,SPROUT,BUSTER,GRAY,R-T,1
knockout,CARL,MEG,SPROUT,BUSTER,GRAY,R-T,1
knockout,CARL,MEG,SPROUT,BUSTER,GRAY,R-T,0
knockout,BUSTER,MANDY,PIPER,FRANK,LARRY & LAWRIE,LEON,0
knockout,BUSTER,MANDY,PIPER,FRANK,LARRY & LAWRIE,LEON,0
knockout,BUSTER,MANDY,PIPER,FRANK,LARRY & LAWRIE,LEON,1
heist,BULL,LILY,NITA,BERRY,COLETTE,EDGAR,0
heist,BULL,LILY,NITA,BERRY,COLETTE,EDGAR,0
hotZone,BARLEY,GALE,STU,CLANCY,DYNAMIKE,SURGE,0
hotZone,BARLEY,GALE,STU,CLANCY,DYNAMIKE,SURGE,0
heist,8-BIT,CROW,MANDY,AMBER,FRANK,MEG,0
heist,8-BIT,CROW,MANDY,AMBER,FRANK,MEG,0
hotZone,BIBI,COLETTE,DYNAMIKE,BARLEY,CLANCY,FRANK,0
hotZone,BIBI,COLETTE,DYNAMIKE,BARLEY,CLANCY,FRANK,1
hotZone,BIBI,COLETTE,DYNAMIKE,BARLEY,CLANCY,FRANK,0
brawlBall,BIBI,COLT,SPIKE,BARLEY,LILY,MEG,1
brawlBall,BIBI,COLT,SPIKE,BARLEY,LILY,MEG,1
heist,BARLEY,CHUCK,CROW,BERRY,BULL,COLETTE,1
heist,BARLEY,CHUCK,CROW,BERRY,BULL,COLETTE,1
gemGrab,ANGELO,SANDY,SURGE,CLANCY,GALE,JESSIE,1
gemGrab,ANGELO,SANDY,SURGE,CLANCY,GALE,JESSIE,1
knockout,ANGELO,BROCK,TICK,BYRON,COLT,GENE,1
knockout,ANGELO,BROCK,TICK,BYRON,COLT,GENE,1
knockout,ANGELO,BROCK,TICK,BYRON,COLT,GENE,0
knockout,BROCK,COLT,LILY,GUS,NANI,SPIKE,0
knockout,BROCK,COLT,LILY,GUS,NANI,SPIKE,0
knockout,BROCK,COLT,LILY,GUS,NANI,SPIKE,1
hotZone,AMBER,EDGAR,LARRY & LAWRIE,BARLEY,LOU,SANDY,0
hotZone,AMBER,EDGAR,LARRY & LAWRIE,BARLEY,LOU,SANDY,0
knockout,ANGELO,BROCK,GENE,EVE,GALE,MANDY,1
knockout,ANGELO,BROCK,GENE,EVE,GALE,MANDY,0
knockout,ANGELO,BROCK,GENE,EVE,GALE,MANDY,1
gemGrab,BIBI,CHARLIE,CLANCY,CHESTER,CORDELIUS,GENE,0
gemGrab,BIBI,CHARLIE,CLANCY,CHESTER,CORDELIUS,GENE,0
heist,DYNAMIKE,FRANK,NITA,CLANCY,EDGAR,LARRY & LAWRIE,0
heist,DYNAMIKE,FRANK,NITA,CLANCY,EDGAR,LARRY & LAWRIE,0
knockout,BONNIE,KIT,RUFFS,BROCK,MR. P,TICK,1
knockout,BONNIE,KIT,RUFFS,BROCK,MR. P,TICK,1
bounty,MANDY,MAX,NANI,GENE,GROM,R-T,0
bounty,MANDY,MAX,NANI,GENE,GROM,R-T,0
brawlBall,FRANK,GALE,SANDY,BARLEY,LARRY & LAWRIE,WILLOW,0
brawlBall,FRANK,GALE,SANDY,BARLEY,LARRY & LAWRIE,WILLOW,0
gemGrab,BYRON,CARL,RICO,GUS,MAX,MEG,0
gemGrab,BYRON,CARL,RICO,GUS,MAX,MEG,0
brawlBall,BYRON,RICO,STU,COLT,MEG,PIPER,1
brawlBall,BYRON,RICO,STU,COLT,MEG,PIPER,0
brawlBall,BYRON,RICO,STU,COLT,MEG,PIPER,1
knockout,BERRY,PIPER,TICK,GRAY,MEG,RICO,1
knockout,BERRY,PIPER,TICK,GRAY,MEG,RICO,0
knockout,BERRY,PIPER,TICK,GRAY,MEG,RICO,1
brawlBall,BARLEY,CHESTER,GRIFF,BERRY,CARL,MEG,1
brawlBall,BARLEY,CHESTER,GRIFF,BERRY,CARL,MEG,1
hotZone,BIBI,GRIFF,MEG,CHESTER,DYNAMIKE,SURGE,0
hotZone,BIBI,GRIFF,MEG,CHESTER,DYNAMIKE,SURGE,0
brawlBall,CLANCY,EMZ,SANDY,CHESTER,COLT,FRANK,1
brawlBall,CLANCY,EMZ,SANDY,CHESTER,COLT,FRANK,1
knockout,ANGELO,BELLE,PIPER,COLT,MANDY,R-T,1
knockout,ANGELO,BELLE,PIPER,COLT,MANDY,R-T,1
heist,BROCK,CARL,COLT,BELLE,BERRY,MAX,1
heist,BROCK,CARL,COLT,BELLE,BERRY,MAX,1
bounty,BARLEY,CHESTER,RICO,DYNAMIKE,GALE,GRAY,1
bounty,BARLEY,CHESTER,RICO,DYNAMIKE,GALE,GRAY,1
heist,BIBI,EMZ,FRANK,CHUCK,GALE,NITA,0
heist,BIBI,EMZ,FRANK,CHUCK,GALE,NITA,0
brawlBall,COLT,LARRY & LAWRIE,MEG,BUZZ,GRAY,STU,0
brawlBall,COLT,LARRY & LAWRIE,MEG,BUZZ,GRAY,STU,0
bounty,CHESTER,COLETTE,GROM,DYNAMIKE,MEG,SURGE,1
bounty,CHESTER,COLETTE,GROM,DYNAMIKE,MEG,SURGE,1
bounty,CHESTER,COLETTE,GROM,DYNAMIKE,MEG,SURGE,0
hotZone,BARLEY,BO,SPIKE,JESSIE,LARRY & LAWRIE,SANDY,0
hotZone,BARLEY,BO,SPIKE,JESSIE,LARRY & LAWRIE,SANDY,0
hotZone,BARLEY,BO,SPIKE,JESSIE,LARRY & LAWRIE,SANDY,1
bounty,BEA,BELLE,BROCK,COLT,MAX,R-T,0
bounty,BEA,BELLE,BROCK,COLT,MAX,R-T,1
bounty,BEA,BELLE,BROCK,COLT,MAX,R-T,0
hotZone,BARLEY,MORTIS,STU,ANGELO,EDGAR,MR. P,0
hotZone,BARLEY,MORTIS,STU,ANGELO,EDGAR,MR. P,1
hotZone,BARLEY,MORTIS,STU,ANGELO,EDGAR,MR. P,0
gemGrab,CHARLIE,COLETTE,SANDY,BO,BUSTER,MAX,0
gemGrab,CHARLIE,COLETTE,SANDY,BO,BUSTER,MAX,0
gemGrab,CHARLIE,COLETTE,SANDY,BO,BUSTER,MAX,1
gemGrab,CHESTER,PIPER,SPIKE,ANGELO,GALE,MAX,0
gemGrab,CHESTER,PIPER,SPIKE,ANGELO,GALE,MAX,1
gemGrab,CHESTER,PIPER,SPIKE,ANGELO,GALE,MAX,0
heist,BROCK,COLETTE,MANDY,AMBER,COLT,FRANK,1
heist,BROCK,COLETTE,MANDY,AMBER,COLT,FRANK,0
heist,BROCK,COLETTE,MANDY,AMBER,COLT,FRANK,1
bounty,GENE,GROM,TICK,LEON,NANI,SPROUT,1
bounty,GENE,GROM,TICK,LEON,NANI,SPROUT,1
bounty,GENE,GROM,TICK,LEON,NANI,SPROUT,0
brawlBall,COLT,CORDELIUS,GROM,EDGAR,FRANK,JESSIE,0
brawlBall,COLT,CORDELIUS,GROM,EDGAR,FRANK,JESSIE,0
brawlBall,COLT,CORDELIUS,GROM,EDGAR,FRANK,JESSIE,1
knockout,BELLE,PIPER,TICK,BYRON,MEG,SHELLY,1
knockout,BELLE,PIPER,TICK,BYRON,MEG,SHELLY,1
knockout,BELLE,PIPER,TICK,BYRON,MEG,SHELLY,0
gemGrab,BO,CLANCY,JESSIE,CROW,EMZ,MEG,0
gemGrab,BO,CLANCY,JESSIE,CROW,EMZ,MEG,0
heist,CHUCK,COLETTE,LARRY & LAWRIE,BUZZ,CLANCY,DYNAMIKE,1
heist,CHUCK,COLETTE,LARRY & LAWRIE,BUZZ,CLANCY,DYNAMIKE,1
gemGrab,CROW,MANDY,SANDY,CHESTER,GALE,GENE,0
gemGrab,CROW,MANDY,SANDY,CHESTER,GALE,GENE,1
gemGrab,CROW,MANDY,SANDY,CHESTER,GALE,GENE,0
gemGrab,CARL,CROW,MEG,GENE,RICO,SURGE,1
gemGrab,CARL,CROW,MEG,GENE,RICO,SURGE,1
heist,ANGELO,COLETTE,JESSIE,CHUCK,COLT,PIPER,1
heist,ANGELO,COLETTE,JESSIE,CHUCK,COLT,PIPER,1
heist,ANGELO,COLETTE,JESSIE,CHUCK,COLT,PIPER,0
bounty,LEON,MAX,MEG,BEA,BYRON,COLT,1
bounty,LEON,MAX,MEG,BEA,BYRON,COLT,1
brawlBall,CHARLIE,RICO,SURGE,BUSTER,CORDELIUS,DYNAMIKE,1
brawlBall,CHARLIE,RICO,SURGE,BUSTER,CORDELIUS,DYNAMIKE,1
hotZone,BARLEY,BIBI,BUSTER,CHUCK,GALE,KIT,1
hotZone,BARLEY,BIBI,BUSTER,CHUCK,GALE,KIT,1
hotZone,BARLEY,BYRON,STU,BEA,BELLE,LEON,1
hotZone,BARLEY,BYRON,STU,BEA,BELLE,LEON,0
hotZone,BARLEY,BYRON,STU,BEA,BELLE,LEON,1
knockout,BELLE,GRAY,RUFFS,GENE,MANDY,SPROUT,0
knockout,BELLE,GRAY,RUFFS,GENE,MANDY,SPROUT,0
bounty,BYRON,LARRY & LAWRIE,PIPER,GUS,R-T,SPROUT,0
bounty,BYRON,LARRY & LAWRIE,PIPER,GUS,R-T,SPROUT,0
hotZone,GALE,MELODIE,STU,CHESTER,COLETTE,DYNAMIKE,0
hotZone,GALE,MELODIE,STU,CHESTER,COLETTE,DYNAMIKE,0
hotZone,CLANCY,MORTIS,SANDY,GALE,LILY,MAX,0
hotZone,CLANCY,MORTIS,SANDY,GALE,LILY,MAX,1
hotZone,CLANCY,MORTIS,SANDY,GALE,LILY,MAX,0
gemGrab,BUSTER,GENE,SURGE,AMBER,BYRON,MEG,1
gemGrab,BUSTER,GENE,SURGE,AMBER,BYRON,MEG,1
bounty,BELLE,BROCK,BYRON,ANGELO,LARRY & LAWRIE,R-T,1
bounty,BELLE,BROCK,BYRON,ANGELO,LARRY & LAWRIE,R-T,1
brawlBall,BERRY,MAX,WILLOW,BYRON,GALE,LILY,0
brawlBall,BERRY,MAX,WILLOW,BYRON,GALE,LILY,0
brawlBall,BERRY,MAX,WILLOW,BYRON,GALE,LILY,1
knockout,ANGELO,BROCK,PIPER,BELLE,GRAY,SPROUT,0
knockout,ANGELO,BROCK,PIPER,BELLE,GRAY,SPROUT,0
bounty,BYRON,GRAY,PIPER,BELLE,MANDY,PEARL,0
bounty,BYRON,GRAY,PIPER,BELLE,MANDY,PEARL,0
bounty,BYRON,GRAY,PIPER,BELLE,MANDY,PEARL,1
hotZone,BIBI,CLANCY,CORDELIUS,BYRON,DYNAMIKE,SURGE,1
hotZone,BIBI,CLANCY,CORDELIUS,BYRON,DYNAMIKE,SURGE,1
hotZone,BIBI,CLANCY,CORDELIUS,BYRON,DYNAMIKE,SURGE,0
heist,BROCK,EVE,RICO,8-BIT,FRANK,GALE,1
heist,BROCK,EVE,RICO,8-BIT,FRANK,GALE,1
brawlBall,CORDELIUS,JACKY,STU,BARLEY,MAX,SHELLY,1
brawlBall,CORDELIUS,JACKY,STU,BARLEY,MAX,SHELLY,1
gemGrab,GALE,JACKY,SANDY,BYRON,FRANK,RICO,0
gemGrab,GALE,JACKY,SANDY,BYRON,FRANK,RICO,0
gemGrab,GALE,JACKY,SANDY,BYRON,FRANK,RICO,1
gemGrab,BERRY,BO,GALE,BYRON,MAX,SANDY,1
gemGrab,BERRY,BO,GALE,BYRON,MAX,SANDY,1
heist,BARLEY,CHARLIE,COLETTE,DYNAMIKE,EDGAR,RICO,1
heist,BARLEY,CHARLIE,COLETTE,DYNAMIKE,EDGAR,RICO,1
knockout,BERRY,LILY,MEG,BYRON,PIPER,R-T,1
knockout,BERRY,LILY,MEG,BYRON,PIPER,R-T,0
knockout,BERRY,LILY,MEG,BYRON,PIPER,R-T,1
bounty,GRAY,MANDY,PIPER,EVE,NANI,SPROUT,0
bounty,GRAY,MANDY,PIPER,EVE,NANI,SPROUT,0
bounty,8-BIT,GALE,MAX,COLT,LEON,PIPER,0
bounty,8-BIT,GALE,MAX,COLT,LEON,PIPER,1
bounty,8-BIT,GALE,MAX,COLT,LEON,PIPER,0
brawlBall,BYRON,SPIKE,SURGE,BERRY,NITA,PIPER,1
brawlBall,BYRON,SPIKE,SURGE,BERRY,NITA,PIPER,1
heist,BROCK,EVE,JESSIE,BELLE,COLT,GALE,1
heist,BROCK,EVE,JESSIE,BELLE,COLT,GALE,1
heist,CROW,RICO,SPIKE,ANGELO,CARL,PIPER,1
heist,CROW,RICO,SPIKE,ANGELO,CARL,PIPER,1
hotZone,CROW,JESSIE,MAISIE,BARLEY,GENE,STU,1
hotZone,CROW,JESSIE,MAISIE,BARLEY,GENE,STU,1
brawlBall,BUSTER,CHESTER,GALE,BUZZ,CARL,FRANK,0
brawlBall,BUSTER,CHESTER,GALE,BUZZ,CARL,FRANK,0
heist,COLETTE,EVE,SPIKE,ANGELO,GALE,PIPER,1
heist,COLETTE,EVE,SPIKE,ANGELO,GALE,PIPER,1
brawlBall,GALE,MAX,SANDY,BIBI,BYRON,SURGE,1
brawlBall,GALE,MAX,SANDY,BIBI,BYRON,SURGE,1
brawlBall,GALE,MAX,SANDY,BIBI,BYRON,SURGE,0
gemGrab,GALE,GRIFF,JESSIE,ANGELO,RICO,SPIKE,1
gemGrab,GALE,GRIFF,JESSIE,ANGELO,RICO,SPIKE,1
knockout,HANK,MICO,SPROUT,BARLEY,LILY,MEG,0
knockout,HANK,MICO,SPROUT,BARLEY,LILY,MEG,0
knockout,BELLE,BROCK,MEG,GALE,NANI,PIPER,0
knockout,BELLE,BROCK,MEG,GALE,NANI,PIPER,0
bounty,ANGELO,BYRON,CROW,BELLE,MANDY,SPROUT,1
bounty,ANGELO,BYRON,CROW,BELLE,MANDY,SPROUT,1
hotZone,FRANK,MEG,TARA,COLETTE,JACKY,LILY,0
hotZone,FRANK,MEG,TARA,COLETTE,JACKY,LILY,0
heist,CHUCK,COLETTE,CROW,CORDELIUS,MELODIE,RICO,1
heist,CHUCK,COLETTE,CROW,CORDELIUS,MELODIE,RICO,0
heist,CHUCK,COLETTE,CROW,CORDELIUS,MELODIE,RICO,1
gemGrab,BERRY,EMZ,JACKY,CROW,GALE,SANDY,1
gemGrab,BERRY,EMZ,JACKY,CROW,GALE,SANDY,1
brawlBall,EMZ,GALE,MAX,BO,JESSIE,SHELLY,0
brawlBall,EMZ,GALE,MAX,BO,JESSIE,SHELLY,0
brawlBall,AMBER,GRIFF,SURGE,JESSIE,NITA,SANDY,0
brawlBall,AMBER,GRIFF,SURGE,JESSIE,NITA,SANDY,0
brawlBall,BARLEY,CHESTER,CORDELIUS,EL PRIMO,LARRY & LAWRIE,SURGE,0
brawlBall,BARLEY,CHESTER,CORDELIUS,EL PRIMO,LARRY & LAWRIE,SURGE,1
brawlBall,BARLEY,CHESTER,CORDELIUS,EL PRIMO,LARRY & LAWRIE,SURGE,0
hotZone,COLETTE,DYNAMIKE,GALE,BELLE,BUSTER,TICK,1
hotZone,COLETTE,DYNAMIKE,GALE,BELLE,BUSTER,TICK,1
heist,CARL,CROW,JESSIE,LEON,MEG,RICO,0
heist,CARL,CROW,JESSIE,LEON,MEG,RICO,0
heist,CARL,CROW,JESSIE,LEON,MEG,RICO,1
gemGrab,GRAY,LEON,LILY,DYNAMIKE,GALE,PEARL,0
gemGrab,GRAY,LEON,LILY,DYNAMIKE,GALE,PEARL,1
gemGrab,BUZZ,GALE,SURGE,CARL,CLANCY,JESSIE,0
gemGrab,BUZZ,GALE,SURGE,CARL,CLANCY,JESSIE,0
heist,BROCK,COLETTE,LOLA,AMBER,COLT,RICO,0
heist,BROCK,COLETTE,LOLA,AMBER,COLT,RICO,0
heist,BROCK,COLETTE,LOLA,AMBER,COLT,RICO,1
brawlBall,CHARLIE,OTIS,SANDY,CLANCY,LILY,SURGE,1
brawlBall,CHARLIE,OTIS,SANDY,CLANCY,LILY,SURGE,0
brawlBall,CHARLIE,OTIS,SANDY,CLANCY,LILY,SURGE,1
brawlBall,JESSIE,LARRY & LAWRIE,NITA,DYNAMIKE,GALE,MEG,1
brawlBall,JESSIE,LARRY & LAWRIE,NITA,DYNAMIKE,GALE,MEG,0
brawlBall,JESSIE,LARRY & LAWRIE,NITA,DYNAMIKE,GALE,MEG,1
knockout,BERRY,LILY,PEARL,LARRY & LAWRIE,MANDY,RICO,0
knockout,BERRY,LILY,PEARL,LARRY & LAWRIE,MANDY,RICO,0
heist,BELLE,COLETTE,COLT,BROCK,EVE,PIPER,1
heist,BELLE,COLETTE,COLT,BROCK,EVE,PIPER,1
bounty,CROW,LEON,PIPER,ANGELO,MANDY,SQUEAK,1
bounty,CROW,LEON,PIPER,ANGELO,MANDY,SQUEAK,1
brawlBall,BULL,GALE,LARRY & LAWRIE,COLT,SANDY,SPIKE,1
brawlBall,BULL,GALE,LARRY & LAWRIE,COLT,SANDY,SPIKE,1
knockout,BELLE,BROCK,RICO,ANGELO,BYRON,SPROUT,1
knockout,BELLE,BROCK,RICO,ANGELO,BYRON,SPROUT,1
knockout,BELLE,BROCK,RICO,ANGELO,BYRON,SPROUT,0
heist,COLT,JESSIE,SPIKE,BROCK,CROW,MEG,0
heist,COLT,JESSIE,SPIKE,BROCK,CROW,MEG,0
knockout,BARLEY,KIT,SHELLY,BYRON,CORDELIUS,MICO,1
knockout,BARLEY,KIT,SHELLY,BYRON,CORDELIUS,MICO,1
heist,BO,CHUCK,COLT,CARL,CLANCY,JESSIE,0
heist,BO,CHUCK,COLT,CARL,CLANCY,JESSIE,0
knockout,BIBI,BYRON,KIT,CARL,GENE,R-T,0
knockout,BIBI,BYRON,KIT,CARL,GENE,R-T,0
knockout,BIBI,BYRON,KIT,CARL,GENE,R-T,1
knockout,ANGELO,GENE,GROM,LILY,MANDY,TICK,0
knockout,ANGELO,GENE,GROM,LILY,MANDY,TICK,0
knockout,ANGELO,GENE,GROM,LILY,MANDY,TICK,1
heist,COLT,JESSIE,MANDY,COLETTE,CROW,PIPER,1
heist,COLT,JESSIE,MANDY,COLETTE,CROW,PIPER,1
brawlBall,COLT,LEON,SURGE,ANGELO,BIBI,LILY,1
brawlBall,COLT,LEON,SURGE,ANGELO,BIBI,LILY,1
heist,BROCK,COLT,NANI,BO,MANDY,PIPER,0
heist,BROCK,COLT,NANI,BO,MANDY,PIPER,0
heist,CHUCK,LEON,PIPER,BELLE,COLETTE,COLT,0
heist,CHUCK,LEON,PIPER,BELLE,COLETTE,COLT,0
bounty,BELLE,GENE,PIPER,ANGELO,BROCK,NANI,0
bounty,BELLE,GENE,PIPER,ANGELO,BROCK,NANI,0
knockout,NANI,RICO,SPROUT,BELLE,GROM,LARRY & LAWRIE,0
knockout,NANI,RICO,SPROUT,BELLE,GROM,LARRY & LAWRIE,0
knockout,BELLE,BUSTER,EVE,ANGELO,MANDY,PIPER,0
knockout,BELLE,BUSTER,EVE,ANGELO,MANDY,PIPER,0
gemGrab,MEG,SANDY,TARA,8-BIT,LEON,NITA,1
gemGrab,MEG,SANDY,TARA,8-BIT,LEON,NITA,1
knockout,BARLEY,GENE,PIPER,BYRON,GALE,LARRY & LAWRIE,0
knockout,BARLEY,GENE,PIPER,BYRON,GALE,LARRY & LAWRIE,0
knockout,LARRY & LAWRIE,MEG,RICO,BROCK,GRAY,PIPER,1
knockout,LARRY & LAWRIE,MEG,RICO,BROCK,GRAY,PIPER,1
hotZone,COLT,GALE,PIPER,BUSTER,JESSIE,STU,1
hotZone,COLT,GALE,PIPER,BUSTER,JESSIE,STU,1
bounty,DYNAMIKE,PENNY,RICO,BARLEY,BUZZ,GALE,0
bounty,DYNAMIKE,PENNY,RICO,BARLEY,BUZZ,GALE,1
bounty,DYNAMIKE,PENNY,RICO,BARLEY,BUZZ,GALE,0
bounty,EVE,GRAY,SQUEAK,CARL,GALE,LARRY & LAWRIE,1
bounty,EVE,GRAY,SQUEAK,CARL,GALE,LARRY & LAWRIE,0
bounty,EVE,GRAY,SQUEAK,CARL,GALE,LARRY & LAWRIE,1
hotZone,DYNAMIKE,GALE,MEG,BARLEY,BIBI,STU,1
hotZone,DYNAMIKE,GALE,MEG,BARLEY,BIBI,STU,1
bounty,CROW,GENE,MANDY,MAX,NANI,R-T,1
bounty,CROW,GENE,MANDY,MAX,NANI,R-T,1
knockout,GRAY,PIPER,TICK,BYRON,LARRY & LAWRIE,MICO,0
knockout,GRAY,PIPER,TICK,BYRON,LARRY & LAWRIE,MICO,0
gemGrab,ANGELO,BUSTER,CHESTER,BELLE,RICO,SANDY,1
gemGrab,ANGELO,BUSTER,CHESTER,BELLE,RICO,SANDY,1
gemGrab,ANGELO,BUSTER,CHESTER,BELLE,RICO,SANDY,0
gemGrab,CROW,JESSIE,SANDY,CHESTER,JANET,STU,1
gemGrab,CROW,JESSIE,SANDY,CHESTER,JANET,STU,0
gemGrab,CROW,JESSIE,SANDY,CHESTER,JANET,STU,1
heist,COLT,EVE,PIPER,CLANCY,COLETTE,FANG,0
heist,COLT,EVE,PIPER,CLANCY,COLETTE,FANG,0
knockout,GRAY,PIPER,SPROUT,BYRON,LARRY & LAWRIE,MEG,0
knockout,GRAY,PIPER,SPROUT,BYRON,LARRY & LAWRIE,MEG,0
heist,CORDELIUS,DYNAMIKE,RICO,CARL,COLETTE,EMZ,0
heist,CORDELIUS,DYNAMIKE,RICO,CARL,COLETTE,EMZ,0
gemGrab,CHESTER,LARRY & LAWRIE,PIPER,BARLEY,GALE,SURGE,0
gemGrab,CHESTER,LARRY & LAWRIE,PIPER,BARLEY,GALE,SURGE,0
gemGrab,CHESTER,LARRY & LAWRIE,PIPER,BARLEY,GALE,SURGE,1
heist,BEA,GALE,JESSIE,CROW,EL PRIMO,PIPER,0
heist,BEA,GALE,JESSIE,CROW,EL PRIMO,PIPER,0
heist,ANGELO,JESSIE,PIPER,CROW,GALE,NANI,0
heist,ANGELO,JESSIE,PIPER,CROW,GALE,NANI,0
brawlBall,COLETTE,GALE,HANK,FRANK,MELODIE,SPIKE,1
brawlBall,COLETTE,GALE,HANK,FRANK,MELODIE,SPIKE,1
knockout,COLETTE,MANDY,MICO,BYRON,DYNAMIKE,MORTIS,0
knockout,COLETTE,MANDY,MICO,BYRON,DYNAMIKE,MORTIS,0
knockout,COLETTE,MANDY,MICO,BYRON,DYNAMIKE,MORTIS,1
heist,BYRON,CLANCY,PIPER,CROW,LILY,NITA,0
heist,BYRON,CLANCY,PIPER,CROW,LILY,NITA,0
heist,8-BIT,BONNIE,COLETTE,BROCK,CROW,NANI,0
